Id,Size (sqft),Number of Bedrooms,Number of Floors,Age of Home,Price (1000s dollars)
7129300520,1180,3,1,85,221.9
6414100192,2570,3,2,89,538.0
5631500400,770,2,1,107,180.0
2487200875,1960,4,1,75,604.0
1954400510,1680,3,1,53,510.0
7237550310,5420,4,1,39,1225.0
1321400060,1715,3,2,45,257.5
2008000270,1060,3,1,77,291.85
2414600126,1780,3,1,80,229.5
3793500160,1890,3,2,37,323.0
1736800520,3560,3,1,75,662.5
9212900260,1160,2,1,98,468.0
114101516,1430,3,1,113,310.0
6054650070,1370,3,1,63,400.0
1175000570,1810,5,1,140,530.0
9297300055,2950,4,2,61,650.0
1875500060,1890,3,2,46,395.0
6865200140,1600,4,1,124,485.0
16000397,1200,2,1,119,189.0
7983200060,1250,3,1,71,230.0
6300500875,1620,4,1,93,385.0
2524049179,3050,3,1,72,2000.0
7137970340,2270,5,2,45,285.0
8091400200,1070,2,1,55,252.7
3814700200,2450,3,2,55,329.0
1202000200,1710,3,1,99,233.0
1794500383,2450,3,2,125,937.0
3303700376,1400,3,1,131,667.0
5101402488,1520,3,1,92,438.0
1873100390,2570,4,2,35,719.0
8562750320,2320,3,2,37,580.5
2426039314,1190,2,3,35,280.0
461000390,2330,4,1,111,687.5
7589200193,1090,3,1,111,535.0
7955080270,2060,4,1,59,322.5
9547205180,2300,3,1,110,696.0
9435300030,1660,4,1,107,550.0
2768000400,2360,4,2,136,640.0
7895500070,1220,4,1,71,240.0
2078500320,2620,4,2,44,605.0
5547700270,2570,4,2,40,625.0
7766200013,4220,4,1,56,775.0
7203220400,3595,5,2,26,861.99
9270200160,1570,3,2,118,685.0
1432701230,1280,3,1,81,309.0
8035350320,3160,3,2,37,488.0
8945200830,990,3,1,74,210.49
4178300310,2290,4,2,59,785.0
9215400105,1250,3,1,87,450.0
822039084,2753,3,1,87,1350.0
5245600105,1190,3,1,85,228.0
7231300125,3150,5,1,74,345.0
7518505990,1410,3,1,90,600.0
3626039271,1980,2,1,59,585.0
4217401195,2730,5,1,113,920.0
9822700295,2830,4,2,45,885.0
9478500640,2250,4,2,32,292.5
2799800710,2420,3,2,37,301.0
7922800400,3250,5,2,72,951.0
8079040320,1850,4,2,49,430.0
1516000055,2150,3,1,81,650.0
9558200045,1260,3,1,86,289.0
5072410070,2519,3,2,67,505.0
9528102996,1540,3,3,26,549.0
1189001180,1660,3,1,61,425.0
3253500160,2770,3,1,115,317.625
3394100030,2720,4,2,51,975.0
3717000160,2240,4,2,35,287.0
1274500060,1000,3,1,72,204.0
1802000060,3200,5,1,75,1325.0
1525059190,4770,5,1,67,1040.0
1049000060,1260,3,1,68,325.0
8820901275,2750,4,1,124,571.0
5416510140,2380,4,2,35,360.0
3444100400,1790,3,1,75,349.0
3276920270,3430,4,2,54,832.5
4036801170,1760,4,1,84,380.0
2391600320,1040,3,1,99,480.0
6300000287,1410,3,1,84,410.0
1531000030,3450,4,2,38,720.0
5104520400,2350,3,2,37,390.0
7437100340,1900,4,2,48,360.0
9418400240,2020,2,1,92,355.0
1523059105,1680,3,1,76,356.0
1133000671,960,3,1,88,315.0
4232902595,2140,3,2,115,940.0
2599001200,2660,5,1,79,305.0
3342103156,2770,3,2,34,461.0
1332700270,1610,2,2,61,215.0
3869900162,1030,2,2,34,335.0
2791500270,1980,4,2,52,243.5
5036300431,3520,5,2,39,1099.88
4168000060,1200,3,1,78,153.0
6021501535,1580,3,1,101,430.0
6021501535,1580,3,1,101,700.0
1483300570,3300,4,1,94,905.0
3422049190,1960,3,1,73,247.5
1099611230,1160,4,1,65,199.0
722079104,1810,3,1,60,314.0
7338200240,2320,3,2,48,437.5
1952200240,2070,3,1,130,850.83
5200100125,1980,3,1,111,555.0
7214720075,2190,3,2,57,699.95
2450000295,2920,3,2,90,1088.0
6197800045,1210,3,1,86,290.0
1328310370,2340,3,1,62,375.0
546000875,1670,3,1,101,460.0
3530510041,1240,2,1,55,188.5
1853000400,3140,4,2,49,680.0
3134100116,2030,5,2,98,470.0
9545230140,2310,4,2,56,597.75
3362400511,1260,3,1,135,570.0
2525310310,1540,3,1,60,272.5
6126500060,2080,3,1,69,329.95
8961960160,3230,4,2,39,480.0
3626039325,4380,3,2,140,740.5
3362400431,1590,3,3,30,518.5
4060000240,880,2,1,95,205.425
3454800060,1570,4,1,90,171.8
1695900060,1610,4,1,115,535.0
7278700070,2400,3,1,76,660.0
6675500070,1450,3,1,53,391.5
3626039187,770,2,1,87,395.0
3524049083,2100,4,1,116,445.0
3275860240,2910,3,2,50,770.0
4389200955,2750,4,1,126,1450.0
4058801670,2100,3,1,73,445.0
8732020310,2160,4,1,62,260.0
2331300505,2320,5,2,114,822.5
7853210060,2070,4,2,36,430.0
3668000070,1060,3,1,54,212.0
9545240070,2010,4,1,54,660.5
1243100136,3950,3,1,51,784.0
8929000270,2010,3,2,26,453.246
2767602356,2140,4,3,35,675.0
921049315,1320,3,1,84,199.0
3655000070,2020,4,1,72,220.0
4027700812,2590,4,1,72,452.0
3992700335,1190,2,1,59,382.5
2767603505,1170,3,3,26,519.95
4232901525,1110,2,1,115,665.0
1777500060,2820,5,1,72,527.7
1432900240,1610,3,1,78,205.0
6140100875,1060,3,1,117,420.0
6071600370,2030,4,1,79,500.0
1526069017,3670,4,2,46,921.5
809001525,2550,4,2,135,890.0
3224079105,2420,2,2,33,430.0
8075400570,2260,5,1,80,258.0
1994200024,1430,3,1,93,511.0
3362900810,1360,3,2,50,532.17
1324300398,1110,3,1,93,560.0
537000445,1250,3,1,86,282.95
7855801670,5180,4,2,34,2250.0
7920100045,700,1,1,98,350.0
8960000030,1180,3,1,73,215.0
6388930390,3960,5,2,44,650.0
8731900200,2640,4,1,73,320.0
8029200135,1270,3,1,124,247.0
1081200350,1760,4,1,72,320.0
84000105,2060,5,1,78,255.0
3756500060,1780,3,1,78,438.0
7215720160,3400,3,2,40,900.0
3574800520,1910,3,1,61,441.0
2617300160,2020,3,1,65,420.0
2558660270,1580,3,1,64,370.0
2009000370,1340,2,1,91,269.95
1836980160,2680,4,2,41,807.1
3261020370,2680,3,1,61,653.0
1755700060,1370,3,1,76,371.5
4330600435,1560,3,1,86,284.0
9542800700,2160,3,1,62,272.0
1999700045,1340,3,1,85,313.0
1762600070,3880,4,2,56,917.5
1687900520,2590,4,2,60,673.0
7234600798,1120,3,2,32,425.0
3881900445,1970,5,1,54,399.95
2254502445,1220,3,1,139,385.0
5437810320,1950,3,1,65,269.95
9158100075,1350,2,1,91,330.0
3830630310,1670,3,2,52,260.0
8123100045,2380,4,1,115,470.0
3127200041,2440,4,2,79,589.0
6661200320,1050,2,2,44,163.5
11510310,3130,4,2,47,835.0
825059270,4090,5,1,54,1095.0
8731951370,1490,4,1,71,269.0
1954440060,1900,3,2,53,560.0
2264500350,1330,4,1,139,615.0
1115810060,2230,3,1,65,585.188
9477200200,1650,3,1,63,305.0
1432600560,1190,3,1,81,166.95
2287000060,2140,3,1,81,799.0
3663500060,2180,3,1,78,400.0
3996900125,1060,3,1,92,230.0
7796450200,1690,3,2,37,256.883
7549802535,1970,4,1,120,423.0
3278600320,2150,3,2,33,465.0
2824079053,1910,3,2,43,440.0
1222069094,1350,3,1,71,385.0
3542300060,860,3,1,97,210.0
2222059065,1940,3,2,46,297.0
7551300060,1010,3,1,88,470.0
100600550,1300,3,1,64,226.5
3211100860,910,3,1,78,274.25
3456000310,2480,4,1,74,840.0
9526600140,2440,3,2,30,677.9
7465900060,1010,3,1,125,425.0
1222000055,900,2,1,99,180.25
6300000550,2300,6,2,120,464.0
2310030510,1550,4,2,47,320.0
1025049114,1270,3,2,26,625.504
8677300550,2240,4,1,57,592.5
4014400292,2714,3,2,35,465.0
1102000196,1720,4,2,62,477.0
257000138,850,2,1,117,280.0
46100204,3300,5,1,83,1505.0
1909600046,2250,3,2,40,445.838
1250202145,3900,2,1,93,1072.0
7611200125,1320,2,1,93,467.0
5611500140,2760,4,2,41,686.0
7138000260,1750,3,1,79,279.95
626059335,2330,4,2,53,527.0
1922059282,2220,3,1,74,325.0
705700390,2020,3,2,46,328.0
7454001200,1250,3,1,98,390.0
8682281200,1510,2,1,35,479.95
7972000200,1720,4,1,62,264.95
722059070,1430,3,1,79,235.0
7202340400,1480,3,2,36,516.5
8096000060,1450,2,2,125,655.0
2424000060,2280,4,1,80,500.0
9264902050,2940,6,1,62,315.0
943100260,1000,2,1,79,213.0
3677400445,2480,3,1,93,475.0
1762600320,3760,5,2,57,1025.0
4058000060,2220,3,1,64,416.0
7228500560,1970,4,1,136,410.0
326069104,3830,3,2,47,800.0
5152100060,4410,6,1,75,472.0
3584000310,1430,3,1,72,225.0
8150100045,830,2,1,100,210.0
1868901275,1430,2,1,115,455.0
6131600075,1300,3,1,86,225.0
9468200125,1030,2,1,122,480.0
8029510030,2740,3,2,50,363.0
2025069065,3650,4,1,40,2400.0
7899800890,720,2,1,86,181.0
3021059276,2010,4,1,64,250.0
3797001895,1560,3,1,122,481.0
3832710960,1810,3,1,62,260.0
1310430400,3360,4,2,39,455.0
1422300030,1510,3,2,49,415.0
1105000588,1400,3,1,87,349.5
3830630060,1730,3,2,53,245.0
5101404898,1420,2,1,112,592.5
7972601890,2360,4,1,85,385.0
5127001620,1580,3,1,66,315.0
9407100800,1230,3,1,61,255.0
1873100060,2460,4,2,34,693.0
8722101360,1660,3,1,129,780.0
8644000060,1270,3,1,80,237.0
3325069129,2100,3,2,61,525.0
1400300055,770,2,1,110,425.0
2123039032,760,1,1,104,369.9
8078560140,1700,4,2,52,290.0
3438500192,1120,3,1,86,285.0
7974200510,1070,2,1,103,415.0
2557000400,2070,3,1,61,272.5
7960900060,5050,4,1,58,2900.0
4054500390,5310,4,2,51,1365.0
6378500125,1040,2,1,101,436.0
1745100140,1700,3,1,73,210.0
2976800796,1300,3,1,79,236.0
4235400186,1080,3,1,86,331.0
4215100060,2653,3,2,34,365.0
9189700045,2290,3,1,80,450.0
1126049053,3820,4,2,26,770.0
2022069200,2210,4,1,43,455.0
9412900055,2390,3,1,132,405.0
1722059235,2600,4,1,71,304.9
6874200960,860,2,1,109,170.0
7424700045,3830,5,2,135,2050.0
7202360350,3500,4,2,35,780.0
